fdcId,identifier,identifierType,foodType,foodDescription,value,foodWeight,valueUnit,foodMeasure,measureValue
746770,9181,NDB #,Foundation,"Melons, cantaloupe, raw",10.9,102,g,"1 wedge, large (1/8 of large melon)",11.1
746770,9181,NDB #,Foundation,"Melons, cantaloupe, raw",10.9,69,g,"1 wedge, medium (1/8 of medium melon)",7.5
746774,36622,NDB #,Foundation,"Restaurant, Chinese, sweet and sour pork",2.3,41.7999999999999971578290569595992565155029296875,g,"3 pieces",1.0
746774,36622,NDB #,Foundation,"Restaurant, Chinese, sweet and sour pork",2.3,611,g,"1 order",14.1
746771,9202,NDB #,Foundation,"Oranges, raw, navels",59.1,140,g,"1 each,  2-7/8 dia",82.7
746771,9202,NDB #,Foundation,"Oranges, raw, navels",59.1,165,g,"1 cup, sections no membranes",97.5
746773,9412,NDB #,Foundation,"Pears, raw, bartlett",4.4,148,g,"1 each, small",6.5
746773,9412,NDB #,Foundation,"Pears, raw, bartlett",4.4,230,g,"1 each, large",10.1
746773,9412,NDB #,Foundation,"Pears, raw, bartlett",4.4,178,g,"1 each, medium",7.8
746773,9412,NDB #,Foundation,"Pears, raw, bartlett",4.4,140,g,"1 cup, slices",6.2
746768,9094,NDB #,Foundation,"Figs, dried, uncooked",1.2,149,g,"1 cup",1.8
746768,9094,NDB #,Foundation,"Figs, dried, uncooked",1.2,8.4000000000000003552713678800500929355621337890625,g,"1 each",0.1
746769,11251,NDB #,Foundation,"Lettuce, cos or romaine, raw",4.6,581,g,"1 bunch",26.7
746764,11130,NDB #,Foundation,"Carrots, frozen, unprepared",2.2,100,g,"100 g",2.2
333476,15066,NDB #,Foundation,"Fish, pollock, raw",0.0,177,g,"1 fillet",0.0
332791,9533,NDB #,Foundation,"Olives, green, Manzanilla, stuffed with pimiento",0.0,3.20000000000000017763568394002504646778106689453125,g,"1 olive",0.0
330415,1285,NDB #,Foundation,"Yogurt, Greek, strawberry, nonfat",0.2,150,g,"1 container, 5.3 oz",0.3
327357,9191,NDB #,Foundation,"Nectarines, raw",2.9,143,g,"1 cup,  slices",4.1
327357,9191,NDB #,Foundation,"Nectarines, raw",2.9,140,g,"1 serving, NLEA",4.1
327357,9191,NDB #,Foundation,"Nectarines, raw",2.9,142,g,"1 each,  2-1/2 dia",4.1
327357,9191,NDB #,Foundation,"Nectarines, raw",2.9,156,g,"1 each, 2-3/4 dia",4.5
327357,9191,NDB #,Foundation,"Nectarines, raw",2.9,129,g,"1 each, 2-1/3 dia",3.7
327046,9148,NDB #,Foundation,"Kiwifruit, green, raw",74.7,100,g,"100 g",74.7
326698,2046,NDB #,Foundation,"Mustard, prepared, yellow",0.4,6,g,"1 teaspoon",0.4
326698,2046,NDB #,Foundation,"Mustard, prepared, yellow",0.4,249,g,"1 cup",1.0
326196,11236,NDB #,Foundation,"Kale, frozen, cooked, boiled, drained, without salt",17.8,118,g,"1 cup, cooked",21.0
325524,12537,NDB #,Foundation,"Seeds, sunflower seed kernels, dry roasted, with salt added",0.0,127,g,"1 cup",0.0
325430,9236,NDB #,Foundation,"Peaches, yellow, raw",4.1,147,g,"1 serving, NLEA ",6.0
325430,9236,NDB #,Foundation,"Peaches, yellow, raw",4.1,161,g,"1 fruit, medium (2-2/3 dia)",6.6
325430,9236,NDB #,Foundation,"Peaches, yellow, raw",4.1,225,g,"1 fruit, extra large (3 dia)",9.2
325430,9236,NDB #,Foundation,"Peaches, yellow, raw",4.1,173,g,"1 fruit, large (2-3/4 dia)",7.1
325430,9236,NDB #,Foundation,"Peaches, yellow, raw",4.1,154,g,"1 cup, slices with skin",6.3
325430,9236,NDB #,Foundation,"Peaches, yellow, raw",4.1,147,g,"1 fruit, small (2-1/2 dia)",6.0
325287,9123,NDB #,Foundation,"Grapefruit juice, white, canned or bottled, unsweetened",39.4,257,g,"1 cup",101
324653,11937,NDB #,Foundation,"Pickles, cucumber, dill or kosher dill",2.1,40.39999999999999857891452847979962825775146484375,g,"1 spear",0.8
324317,11296,NDB #,Foundation,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",1.6,20.199999999999999289457264239899814128875732421875,g,"1 piece",0.3
323505,11233,NDB #,Foundation,"Kale, raw",93.4,20.60000000000000142108547152020037174224853515625,g,"1 cup, pieces of ~1",19.2
323294,12563,NDB #,Foundation,"Nuts, almonds, dry roasted, with salt added",0.0,135,g,"1 cup, whole",0.0
321360,100147,NDB #,Foundation,"Tomatoes, grape, raw",27.2,152,g,"1 cup",41.3
321360,100147,NDB #,Foundation,"Tomatoes, grape, raw",27.2,49.7000000000000028421709430404007434844970703125,g,"5 tomatoes",13.5
321358,16158,NDB #,Foundation,"Hummus, commercial",0.0,33.89999999999999857891452847979962825775146484375,g,"2 tablespoon",0.0
175304,17169,NDB #,SR Legacy,"Game meat, goat, cooked, roasted",0.0,85,g,"3 oz",0.0
175304,17169,NDB #,SR Legacy,"Game meat, goat, cooked, roasted",0.0,340,g,"1 piece, cooked (yield from 1 lb raw meat, boneless)",0.0
175299,17160,NDB #,SR Legacy,"Game meat, buffalo, water, raw",0.0,28.35000000000000142108547152020037174224853515625,g,"1 oz",0.0
175299,17160,NDB #,SR Legacy,"Game meat, buffalo, water, raw",0.0,453.6000000000000227373675443232059478759765625,g,"1 lb",0.0
175302,17167,NDB #,SR Legacy,"Game meat, elk, cooked, roasted",0.0,85,g,"3 oz",0.0
