fdcId,identifier,identifierType,foodType,foodDescription,value,foodWeight,valueUnit,foodMeasure,measureValue
747447,11090,NDB #,Foundation,"Broccoli, raw",0.610,76,g,"1 cup, chopped",0.464
746785,5666,NDB #,Foundation,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",1.40,155,g,"1 paired cooked w, crumbles",2.17
746782,1077,NDB #,Foundation,"Milk, whole, 3.25% milkfat, with added vitamin D",0.362,249,g,"1 cup",0.901
746783,7919,NDB #,Foundation,"Sausage, turkey, breakfast links, mild, raw",0.952,27.89999999999999857891452847979962825775146484375,g,"1 link",0.266
746783,7919,NDB #,Foundation,"Sausage, turkey, breakfast links, mild, raw",0.952,450,g,"1 package",4.28
746781,100173,NDB #,Foundation,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",1.20,80.400000000000005684341886080801486968994140625,g,"1 link, medium",0.965
746781,100173,NDB #,Foundation,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",1.20,185,g,"1 cup, ground",2.22
746781,100173,NDB #,Foundation,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",1.20,186,g,"1 link, long",2.23
746780,7089,NDB #,Foundation,"Sausage, Italian, pork, mild, cooked, pan-fried",0.783,86.599999999999994315658113919198513031005859375,g,"1 link, medium",0.678
746779,7954,NDB #,Foundation,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",0.322,18.60000000000000142108547152020037174224853515625,g,"1 link",0.060
746776,1085,NDB #,Foundation,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",0.388,246,g,"1 cup",0.954
746777,6164,NDB #,Foundation,"Sauce, salsa, ready-to-serve",0.202,35.7000000000000028421709430404007434844970703125,g,"2 tablespoon",0.072
746778,1079,NDB #,Foundation,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",0.390,245,g,"1 cup",0.956
746773,9412,NDB #,Foundation,"Pears, raw, bartlett",0.042,148,g,"1 each, small",0.062
746773,9412,NDB #,Foundation,"Pears, raw, bartlett",0.042,230,g,"1 each, large",0.097
746773,9412,NDB #,Foundation,"Pears, raw, bartlett",0.042,178,g,"1 each, medium",0.075
746773,9412,NDB #,Foundation,"Pears, raw, bartlett",0.042,140,g,"1 cup, slices",0.059
746774,36622,NDB #,Foundation,"Restaurant, Chinese, sweet and sour pork",0.443,41.7999999999999971578290569595992565155029296875,g,"3 pieces",0.185
746774,36622,NDB #,Foundation,"Restaurant, Chinese, sweet and sour pork",0.443,611,g,"1 order",2.71
746770,9181,NDB #,Foundation,"Melons, cantaloupe, raw",0.085,55,g,"1 wedge, small (1/8 of small melon)",0.047
746770,9181,NDB #,Foundation,"Melons, cantaloupe, raw",0.085,552,g,"1 each, medium (about 5 dia)",0.469
746770,9181,NDB #,Foundation,"Melons, cantaloupe, raw",0.085,156,g,"1 cup, diced",0.133
746770,9181,NDB #,Foundation,"Melons, cantaloupe, raw",0.085,138,g,"10 pieces, balls",0.117
746770,9181,NDB #,Foundation,"Melons, cantaloupe, raw",0.085,160,g,"1 cup, cubes",0.136
746770,9181,NDB #,Foundation,"Melons, cantaloupe, raw",0.085,814,g,"1 each, large (about 6-1/2 dia)",0.692
746770,9181,NDB #,Foundation,"Melons, cantaloupe, raw",0.085,441,g,"1 each, small (about 4-1/4 dia)",0.375
746770,9181,NDB #,Foundation,"Melons, cantaloupe, raw",0.085,102,g,"1 wedge, large (1/8 of large melon)",0.087
746770,9181,NDB #,Foundation,"Melons, cantaloupe, raw",0.085,69,g,"1 wedge, medium (1/8 of medium melon)",0.059
746772,1082,NDB #,Foundation,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",0.368,246,g,"1 cup",0.905
746771,9202,NDB #,Foundation,"Oranges, raw, navels",0.261,140,g,"1 each,  2-7/8 dia",0.365
746771,9202,NDB #,Foundation,"Oranges, raw, navels",0.261,165,g,"1 cup, sections no membranes",0.431
746768,9094,NDB #,Foundation,"Figs, dried, uncooked",0.434,149,g,"1 cup",0.647
746768,9094,NDB #,Foundation,"Figs, dried, uncooked",0.434,8.4000000000000003552713678800500929355621337890625,g,"1 each",0.036
746765,1227,NDB #,Foundation,"Cheese, dry white, queso seco",0.398,97.2999999999999971578290569595992565155029296875,g,"1 cup, grated",0.387
746767,1040,NDB #,Foundation,"Cheese, swiss",0.352,10.9000000000000003552713678800500929355621337890625,g,"1 slice, thin",0.038
746767,1040,NDB #,Foundation,"Cheese, swiss",0.352,21.89999999999999857891452847979962825775146484375,g,"1 slice, regular",0.077
746769,11251,NDB #,Foundation,"Lettuce, cos or romaine, raw",0.145,581,g,"1 bunch",0.842
746766,1036,NDB #,Foundation,"Cheese, ricotta, whole milk",0.673,129,g,"0.5 cup",0.868
746766,1036,NDB #,Foundation,"Cheese, ricotta, whole milk",0.673,258,g,"1 cup",1.74
746766,1036,NDB #,Foundation,"Cheese, ricotta, whole milk",0.673,64.599999999999994315658113919198513031005859375,g,"0.2 cup",0.435
746759,23385,NDB #,Foundation,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8 fat, choice, raw",0.360,284,g,"1 steak, raw",1.02
746764,11130,NDB #,Foundation,"Carrots, frozen, unprepared",0.196,100,g,"100 g",0.196
746761,23359,NDB #,Foundation,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0 fat, select, raw",0.370,788,g,"1 roast, raw",2.92
335240,18075,NDB #,Foundation,"Bread, whole-wheat, commercially prepared",0.650,32.10000000000000142108547152020037174224853515625,g,"1 slice",0.209
334720,36408,NDB #,Foundation,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",0.303,126,g,"1 piece",0.382
