fdcId,identifier,identifierType,foodType,foodDescription,value,foodWeight,valueUnit,foodMeasure,measureValue
323793,1173,NDB #,Foundation,"Egg, white, dried",0.00,107,g,"1 cup, sifted",0.00
323793,1173,NDB #,Foundation,"Egg, white, dried",0.00,7,g,"1 tablespoon",0.00
323697,1172,NDB #,Foundation,"Egg, white, raw, frozen, pasteurized",0.00,28.39999999999999857891452847979962825775146484375,g,"1 oz",0.00
323604,1171,NDB #,Foundation,"Egg, whole, raw, frozen, pasteurized",2.30,28.39999999999999857891452847979962825775146484375,g,"1 oz",0.65
175304,17169,NDB #,SR Legacy,"Game meat, goat, cooked, roasted",0.00,85,g,"3 oz",0.00
175304,17169,NDB #,SR Legacy,"Game meat, goat, cooked, roasted",0.00,340,g,"1 piece, cooked (yield from 1 lb raw meat, boneless)",0.00
175298,17159,NDB #,SR Legacy,"Game meat, boar, wild, cooked, roasted",0.00,85,g,"3 oz",0.00
175298,17159,NDB #,SR Legacy,"Game meat, boar, wild, cooked, roasted",0.00,340,g,"1 piece, cooked (yield from 1 lb raw meat, boneless)",0.00
175295,17151,NDB #,SR Legacy,"Game meat, beaver, cooked, roasted",0.00,313,g,"1 piece, cooked (yield from 1 lb raw meat, boneless)",0.00
175295,17151,NDB #,SR Legacy,"Game meat, beaver, cooked, roasted",0.00,85,g,"3 oz",0.00
175291,17143,NDB #,SR Legacy,"Veal, ground, cooked, broiled",0.00,85,g,"3 oz",0.00
175291,17143,NDB #,SR Legacy,"Veal, ground, cooked, broiled",0.00,299,g,"1 unit, cooked (yield from 1 lb raw meat)",0.00
175290,17142,NDB #,SR Legacy,"Veal, ground, raw",1.30,85,g,"3 oz",1.11
175290,17142,NDB #,SR Legacy,"Veal, ground, raw",1.30,28.35000000000000142108547152020037174224853515625,g,"1 oz",0.37
175290,17142,NDB #,SR Legacy,"Veal, ground, raw",1.30,113,g,"4 oz",1.47
175293,17149,NDB #,SR Legacy,"Bison, ground, grass-fed, raw",0.00,28.35000000000000142108547152020037174224853515625,g,"1 oz",0.00
175293,17149,NDB #,SR Legacy,"Bison, ground, grass-fed, raw",0.00,85,g,"1 patty (cooked from 4 oz raw)",0.00
175286,17134,NDB #,SR Legacy,"Veal, sirloin, separable lean and fat, raw",0.00,453.6000000000000227373675443232059478759765625,g,"1 lb",0.00
175286,17134,NDB #,SR Legacy,"Veal, sirloin, separable lean and fat, raw",0.00,28.35000000000000142108547152020037174224853515625,g,"1 oz",0.00
175288,17136,NDB #,SR Legacy,"Veal, sirloin, separable lean and fat, cooked, roasted",0.00,269,g,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",0.00
175288,17136,NDB #,SR Legacy,"Veal, sirloin, separable lean and fat, cooked, roasted",0.00,85,g,"3 oz",0.00
175277,17116,NDB #,SR Legacy,"Veal, shoulder, whole (arm and blade), separable lean and fat, raw",0.00,28.35000000000000142108547152020037174224853515625,g,"1 oz",0.00
175277,17116,NDB #,SR Legacy,"Veal, shoulder, whole (arm and blade), separable lean and fat, raw",0.00,453.6000000000000227373675443232059478759765625,g,"1 lb",0.00
175276,17111,NDB #,SR Legacy,"Veal, rib, separable lean and fat, cooked, braised",0.00,177,g,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",0.00
175276,17111,NDB #,SR Legacy,"Veal, rib, separable lean and fat, cooked, braised",0.00,85,g,"3 oz",0.00
175278,17117,NDB #,SR Legacy,"Veal, shoulder, whole (arm and blade), separable lean and fat, cooked, braised",0.00,191,g,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",0.00
175278,17117,NDB #,SR Legacy,"Veal, shoulder, whole (arm and blade), separable lean and fat, cooked, braised",0.00,85,g,"3 oz",0.00
175273,17108,NDB #,SR Legacy,"Veal, loin, separable lean only, cooked, braised",0.00,69,g,"1 chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 195 g)",0.00
175273,17108,NDB #,SR Legacy,"Veal, loin, separable lean only, cooked, braised",0.00,85,g,"3 oz",0.00
175272,17102,NDB #,SR Legacy,"Veal, leg (top round), separable lean only, cooked, pan-fried, not breaded",0.00,85,g,"3 oz",0.00
175272,17102,NDB #,SR Legacy,"Veal, leg (top round), separable lean only, cooked, pan-fried, not breaded",0.00,289,g,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",0.00
175271,17101,NDB #,SR Legacy,"Veal, leg (top round), separable lean only, cooked, pan-fried, breaded",0.00,295,g,"1 unit, cooked (yield from 1 lb raw meat)",0.00
175271,17101,NDB #,SR Legacy,"Veal, leg (top round), separable lean only, cooked, pan-fried, breaded",0.00,85,g,"3 oz",0.00
175274,17109,NDB #,SR Legacy,"Veal, loin, separable lean only, cooked, roasted",0.00,208,g,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",0.00
