fdcId,identifier,identifierType,foodType,foodDescription,value,foodWeight,valueUnit,foodMeasure,measureValue
323793,1173,NDB #,Foundation,"Egg, white, dried",0.0,7,g,"1 tablespoon",0.0
323604,1171,NDB #,Foundation,"Egg, whole, raw, frozen, pasteurized",91.0,28.39999999999999857891452847979962825775146484375,g,"1 oz",25.8
323697,1172,NDB #,Foundation,"Egg, white, raw, frozen, pasteurized",0.0,28.39999999999999857891452847979962825775146484375,g,"1 oz",0.0
175304,17169,NDB #,SR Legacy,"Game meat, goat, cooked, roasted",0.0,85,g,"3 oz",0.0
175304,17169,NDB #,SR Legacy,"Game meat, goat, cooked, roasted",0.0,340,g,"1 piece, cooked (yield from 1 lb raw meat, boneless)",0.0
175298,17159,NDB #,SR Legacy,"Game meat, boar, wild, cooked, roasted",0.0,85,g,"3 oz",0.0
175298,17159,NDB #,SR Legacy,"Game meat, boar, wild, cooked, roasted",0.0,340,g,"1 piece, cooked (yield from 1 lb raw meat, boneless)",0.0
175295,17151,NDB #,SR Legacy,"Game meat, beaver, cooked, roasted",0.0,313,g,"1 piece, cooked (yield from 1 lb raw meat, boneless)",0.0
175295,17151,NDB #,SR Legacy,"Game meat, beaver, cooked, roasted",0.0,85,g,"3 oz",0.0
175293,17149,NDB #,SR Legacy,"Bison, ground, grass-fed, raw",0.0,28.35000000000000142108547152020037174224853515625,g,"1 oz",0.0
175293,17149,NDB #,SR Legacy,"Bison, ground, grass-fed, raw",0.0,85,g,"1 patty (cooked from 4 oz raw)",0.0
175290,17142,NDB #,SR Legacy,"Veal, ground, raw",51.0,85,g,"3 oz",43.4
175290,17142,NDB #,SR Legacy,"Veal, ground, raw",51.0,28.35000000000000142108547152020037174224853515625,g,"1 oz",14.5
175290,17142,NDB #,SR Legacy,"Veal, ground, raw",51.0,113,g,"4 oz",57.6
175291,17143,NDB #,SR Legacy,"Veal, ground, cooked, broiled",0.0,85,g,"3 oz",0.0
175291,17143,NDB #,SR Legacy,"Veal, ground, cooked, broiled",0.0,299,g,"1 unit, cooked (yield from 1 lb raw meat)",0.0
175286,17134,NDB #,SR Legacy,"Veal, sirloin, separable lean and fat, raw",0.0,453.6000000000000227373675443232059478759765625,g,"1 lb",0.0
175286,17134,NDB #,SR Legacy,"Veal, sirloin, separable lean and fat, raw",0.0,28.35000000000000142108547152020037174224853515625,g,"1 oz",0.0
175288,17136,NDB #,SR Legacy,"Veal, sirloin, separable lean and fat, cooked, roasted",0.0,269,g,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",0.0
175288,17136,NDB #,SR Legacy,"Veal, sirloin, separable lean and fat, cooked, roasted",0.0,85,g,"3 oz",0.0
175277,17116,NDB #,SR Legacy,"Veal, shoulder, whole (arm and blade), separable lean and fat, raw",0.0,28.35000000000000142108547152020037174224853515625,g,"1 oz",0.0
175277,17116,NDB #,SR Legacy,"Veal, shoulder, whole (arm and blade), separable lean and fat, raw",0.0,453.6000000000000227373675443232059478759765625,g,"1 lb",0.0
175278,17117,NDB #,SR Legacy,"Veal, shoulder, whole (arm and blade), separable lean and fat, cooked, braised",0.0,191,g,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",0.0
175278,17117,NDB #,SR Legacy,"Veal, shoulder, whole (arm and blade), separable lean and fat, cooked, braised",0.0,85,g,"3 oz",0.0
175276,17111,NDB #,SR Legacy,"Veal, rib, separable lean and fat, cooked, braised",0.0,177,g,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",0.0
