fdcId,identifier,identifierType,foodType,foodDescription,value,foodWeight,valueUnit,foodMeasure,measureValue
2512376,20130,NDB #,Foundation,"Flour, barley",8.61,100,g,"100 g",8.61
2512371,100287,NDB #,Foundation,"Flour, amaranth",25.4,100,g,"100 g",25.4
2512372,100288,NDB #,Foundation,"Flour, quinoa",26.2,100,g,"100 g",26.2
2512377,100291,NDB #,Foundation,"Flour, cassava",0.519,100,g,"100 g",0.519
2512373,100289,NDB #,Foundation,"Flour, sorghum",24.2,100,g,"100 g",24.2
2512374,20011,NDB #,Foundation,"Flour, buckwheat",15.1,100,g,"100 g",15.1
2512375,100290,NDB #,Foundation,"Flour, rye",8.98,100,g,"100 g",8.98
2512378,20008,NDB #,Foundation,"Buckwheat, whole grain",18.6,100,g,"100 g",18.6
2512379,20031,NDB #,Foundation,"Millet, whole grain",11.4,100,g,"100 g",11.4
2512380,20036,NDB #,Foundation,"Rice, brown, long grain, unenriched, raw",4.99,100,g,"100 g",4.99
2512381,20444,NDB #,Foundation,"Rice, white, long grain, unenriched, raw",0.000,100,g,"100 g",0.000
2003587,20140,NDB #,Foundation,"Flour, spelt, whole grain",10.4,100,g,"100 g",10.4
2346413,100280,NDB #,Foundation,"Grapes, green, seedless, raw",0.111,100,g,"100 g",0.111
2346410,9302,NDB #,Foundation,"Raspberries, raw",3.43,100,g,"100 g",3.43
2346409,9316,NDB #,Foundation,"Strawberries, raw",0.190,100,g,"100 g",0.190
2346411,9050,NDB #,Foundation,"Blueberries, raw",0.300,100,g,"100 g",0.300
2346414,9401,NDB #,Foundation,"Applesauce, unsweetened, with added vitamin C",0.000,100,g,"100 g",0.000
2346412,100279,NDB #,Foundation,"Grapes, red, seedless, raw",0.122,100,g,"100 g",0.122
2346393,12061,NDB #,Foundation,"Nuts, almonds, whole, raw",57.0,100,g,"100 g",57.0
2346397,100282,NDB #,Foundation,"Oats, whole grain, steel cut",22.0,100,g,"100 g",22.0
2346392,12147,NDB #,Foundation,"Nuts, pine nuts, raw",12.9,100,g,"100 g",12.9
2346396,20038,NDB #,Foundation,"Oats, whole grain, rolled, old fashioned",21.9,100,g,"100 g",21.9
2346406,11205,NDB #,Foundation,"Cucumber, with peel, raw",0.963,100,g,"100 g",0.963
2346386,1053,NDB #,Foundation,"Cream, heavy",1.44,100,g,"100 g",1.44
2346395,12142,NDB #,Foundation,"Nuts, pecans, halves, raw",22.7,100,g,"100 g",22.7
2346384,1012,NDB #,Foundation,"Cottage cheese, full fat, large or small curd",2.28,100,g,"100 g",2.28
2346394,12155,NDB #,Foundation,"Nuts, walnuts, English, halves, raw",17.3,100,g,"100 g",17.3
2346387,1056,NDB #,Foundation,"Cream, sour, full fat",1.91,100,g,"100 g",1.91
2346385,1017,NDB #,Foundation,"Cream cheese, full fat, block",1.74,100,g,"100 g",1.74
2262072,16098,NDB #,Foundation,"Peanut butter, creamy",87.8,100,g,"100 g",87.8
2262075,12220,NDB #,Foundation,"Flaxseed, ground",33.8,100,g,"100 g",33.8
2262074,12195,NDB #,Foundation,"Almond butter, creamy",57.3,100,g,"100 g",57.3
2262073,100271,NDB #,Foundation,"Sesame butter, creamy",13.3,100,g,"100 g",13.3
2261422,11413,NDB #,Foundation,"Flour, potato",0.976,100,g,"100 g",0.976
2261420,100273,NDB #,Foundation,"Flour, almond",69.1,100,g,"100 g",69.1
2261421,100274,NDB #,Foundation,"Flour, oat, whole grain",20.2,100,g,"100 g",20.2
2259794,1293,NDB #,Foundation,"Yogurt, Greek, plain, whole milk",0.000,100,g,"100 g",0.000
2259792,1088,NDB #,Foundation,"Buttermilk, low fat",0.000,100,g,"100 g",0.000
2259796,1019,NDB #,Foundation,"Cheese, feta, whole milk, crumbled",0.464,100,g,"100 g",0.464
2259795,100272,NDB #,Foundation,"Cheese, parmesan, grated, refrigerated",0.000,100,g,"100 g",0.000
2259793,1116,NDB #,Foundation,"Yogurt, plain, whole milk",0.000,100,g,"100 g",0.000
2258589,11951,NDB #,Foundation,"Peppers, bell, yellow, raw",0.460,100,g,"100 g",0.460
2258588,11333,NDB #,Foundation,"Peppers, bell, green, raw",0.000,100,g,"100 g",0.000
2258591,100278,NDB #,Foundation,"Peppers, bell, orange, raw",0.580,100,g,"100 g",0.580
2258590,11821,NDB #,Foundation,"Peppers, bell, red, raw",0.427,100,g,"100 g",0.427
2258586,11124,NDB #,Foundation,"Carrots, mature, raw",2.22,100,g,"100 g",2.22
2258587,11960,NDB #,Foundation,"Carrots, baby, raw",2.40,100,g,"100 g",2.40
2257044,100275,NDB #,Foundation,"Soy milk, sweetened, plain, refrigerated",2.16,100,g,"100 g",2.16
2257045,100276,NDB #,Foundation,"Almond milk, unsweetened, plain, refrigerated",1.42,100,g,"100 g",1.42
2257046,100277,NDB #,Foundation,"Oat milk, unsweetened, plain, refrigerated",1.41,100,g,"100 g",1.41
2003603,100264,NDB #,Foundation,"Mushroom, beech",8.07,100,g,"100 g",8.07
2003601,11266,NDB #,Foundation,"Mushroom, crimini",12.6,100,g,"100 g",12.6
2003599,100263,NDB #,Foundation,"Mushroom, king oyster",10.8,100,g,"100 g",10.8
2003600,11950,NDB #,Foundation,"Mushroom, enoki",12.5,100,g,"100 g",12.5
2003604,100265,NDB #,Foundation,"Mushroom, pioppini",15.3,100,g,"100 g",15.3
2003598,11243,NDB #,Foundation,"Mushroom, portabella",11.1,100,g,"100 g",11.1
2003602,11993,NDB #,Foundation,"Mushroom, maitake",32.6,100,g,"100 g",32.6
1999633,11457,NDB #,Foundation,"Spinach, mature",4.25,100,g,"100 g",4.25
1999629,11260,NDB #,Foundation,"Mushrooms, white button",9.07,100,g,"100 g",9.07
1999628,11238,NDB #,Foundation,"Mushrooms, shiitake",6.05,100,g,"100 g",6.05
1999626,100259,NDB #,Foundation,"Mushroom, lion's mane",16.9,100,g,"100 g",16.9
1999627,11987,NDB #,Foundation,"Mushroom, oyster",7.04,100,g,"100 g",7.04
1999634,100261,NDB #,Foundation,"Tomato, roma",0.469,100,g,"100 g",0.469
1999632,100260,NDB #,Foundation,"Spinach, baby",1.66,100,g,"100 g",1.66
1999631,14091,NDB #,Foundation,"Almond milk, unsweetened, plain, shelf stable",1.02,100,g,"100 g",1.02
1999630,16222,NDB #,Foundation,"Soy milk, unsweetened, plain, shelf stable",3.34,100,g,"100 g",3.34
1105314,9040,NDB #,Foundation,"Bananas, ripe and slightly ripe, raw",0.000,115,g,"1 Banana, Peeled",0.000
1105073,100254,NDB #,Foundation,"Bananas, overripe, raw",0.000,110,g,"1 Banana, Peeled",0.000
790646,100253,NDB #,Foundation,"Onions, yellow, raw",0.000,143,g,"1 Onion, Edible",0.000
790577,100252,NDB #,Foundation,"Onions, red, raw",0.000,197,g,"1 Onion, Edible",0.000
790508,1001,NDB #,Foundation,"Butter, stick, salted",0.000,100,g,"100 g",0.000
748236,1125,NDB #,Foundation,"Eggs, Grade A, Large, egg yolk",45.9,17,g,"1 egg, yolk",7.80
